Although software testing can determine the correctness of software under the assumption of some specific hypotheses (see the hierarchy of testing difficulty below), testing cannot identify all the defects within the software.	虽然软件测试可以在一些特定的假设条件（见下文的测试难度等级）的假设下鉴定软件的准确性，但通过测试并不能找到软件内部的所有缺陷。
Instead, it furnishes a criticism or comparison that compares the state and behavior of the product against test oracles—principles or mechanisms by which someone might recognize a problem.	它只是提供了一种批评意见，或者说进行了一次比较，将该产品的状态和行为与测试准则（即一组原则或机制，通过这些原则或机制可能会认识到问题所在）进行对比。
These oracles may include (but are not limited to) specifications, contracts, comparable products, past versions of the same product, inferences about intended or expected purpose, user or customer expectations, relevant standards, applicable laws, or other criteria.	这些准则可能包括（但不限于）规范、合同、可比产品，该产品的以往版本，以及对预期目的或预期使用目的、用户或客户期望、相关标准、适用法律或其它标准的推断。
A primary purpose of testing is to detect software failures so that defects may be discovered and corrected.	测试的主要目的是检测软件故障，发现缺陷并改正缺陷。
Testing cannot establish that a product functions properly under all conditions, but only that it does not function properly under specific conditions.	测试只能检测出该产品在某种特定的情形下无法正常运行，而不能证实该产品在所有情况下都能正常运行。
The scope of software testing often includes the examination of code as well as the execution of that code in various environments and conditions as well as examining the aspects of code: does it do what it is supposed to do and do what it needs to do.	软件测试的测试范围通常包括检查代码、在各种环境和条件下执行该代码以及检查代码的一些方面：代码的行为是否达到预期？代码的行为是否符合需求？
In the current culture of software development, a testing organization may be separate from the development team.	在当前的软件开发文化下，测试团队和开发团队有可能是分开的。
There are various roles for testing team members.	测试团队的成员有多种角色。
Information derived from software testing may be used to correct the process by which software is developed.	从软件测试中获得的信息可以用于纠正开发该软件的过程。
Every software product has a target audience.	每一款软件都有其对应的目标受众。
For example, the audience for video game software is completely different from banking software.	比方说，电子游戏软件的受众就和银行软件的受众完全不同。
Therefore, when an organization develops or otherwise invests in a software product, it can assess whether the software product will be acceptable to its end users, its target audience, its purchasers and other stakeholders.	因此，某个机构在开发或投资一款软件产品时，可以评估该软件产品到底能不能为终端用户、目标受众、消费者以及其他利益相关者所接受。
Software testing aids the process of attempting to make this assessment.	在尝试进行这种评估的过程中，我们可以借助于软件测试。
Not all software defects are caused by coding errors.	并非所有的软件缺陷都是由代码错误导致的。
One common source of expensive defects is requirement gaps, i.e., unrecognized requirements that result in errors of omission by the program designer.	代价高昂的缺陷通常来源于需求缺口，即需求未被识别，导致程序设计人员遗漏而出错。
Requirement gaps can often be non-functional requirements such as testability, scalability, maintainability, performance, and security.	需求缺口通常是一些非功能性需求，如稳定性、可扩展性、可维护性、性能、安全性等。
Software faults occur through the following processes.	通过以下过程会发生软件故障：
A programmer makes an error (mistake), which results in a defect (fault, bug) in the software source code.	程序员犯了一个错误（过失），导致软件的源代码出现了一个缺陷（故障，漏洞）。
If this defect is executed, in certain situations the system will produce wrong results, causing a failure.	如果执行这一缺陷，系统在某些情况下会产生错误结果，从而导致软件失效。
Not all defects will necessarily result in failures.	并非所有的缺陷都会导致失效。
For example, defects in the dead code will never result in failures.	比如，无用代码中的缺陷就不会导致失效。
A defect can turn into a failure when the environment is changed.	当所在环境发生变化时，一个缺陷可能就会变成一次失效。
Examples of these changes in environment include the software being run on a new computer hardware platform, alterations in source data, or interacting with different software.	环境发生变化的例子包括软件在新的计算机硬件平台上运行、源数据发生改变、与不同的软件进行交互等等。
A single defect may result in a wide range of failure symptoms.	单个缺陷可能会导致各种各样的失效症状。
A fundamental problem with software testing is that testing under all combinations of inputs and preconditions (initial state) is not feasible, even with a simple product.	软件测试的一个基本问题是，即便是简单的软件产品，也不可能做到将各种输入和前提条件（初始状态）的所有组合都测试一遍。
This means that the number of defects in a software product can be very large and defects that occur infrequently are difficult to find in testing.	这意味着一款软件产品的缺陷数量可能非常庞大，而且不经常发生的缺陷在测试中很难发现。
More significantly, non-functional dimensions of quality (how it is supposed to be versus what it is supposed to do)—usability, scalability, performance, compatibility, reliability—can be highly subjective; something that constitutes sufficient value to one person may be intolerable to another.	更重要的是，软件质量（应该是什么样子 vs 应该具备什么功能）的一些非功能性维度——可用性、可扩展性、性能、兼容性、可靠性——可能带有很强的主观性，一个东西可能这个人觉得很有价值，另一个人却觉得不能忍受。
Software developers can't test everything, but they can use combinatorial test design to identify the minimum number of tests needed to get the coverage they want.	软件开发人员无法测试所有内容，但通过组合测试设计，他们可以确定获得自己想要的覆盖率所需的最少测试数是多少。
Combinatorial test design enables users to get greater test coverage with fewer tests.	组合测试设计使用户能够以更少的测试获得更大的测试覆盖率。
Whether they are looking for speed or test depth, they can use combinatorial test design methods to build structured variation into their test cases.	不管他们追求的是速度还是测试深度，他们都可以利用组合测试设计的各种方法，将结构化变差构建到他们的测试用例中。
A study conducted by NIST in 2002 reports that software bugs cost the U.S. economy $59.5 billion annually.	美国国家标准与技术研究院 2002 年的一份研究报告表示，软件漏洞每年给美国带来的经济损失达 595 亿美元。
More than a third of this cost could be avoided, if better software testing was performed.	只要在软件测试方面多下一点功夫，三分之一以上的损失都是可以避免的。
Outsourcing software testing because of costs is very common, with China, the Philippines and India being preferred destinations.	由于成本原因，软件测试普遍外包，其中中国、菲律宾、印度是外包的首选之地。
Software testing can be done by dedicated software testers.	软件测试可以交给专门的软件测试员来做。
Until the 1980s, the term "software tester" was used generally, but later it was also seen as a separate profession.	直到 20 世纪 80 年代，“软件测试员”都还是一种范称，但后来，这个词也被看作是一种专门的职业。
Regarding the periods and the different goals in software testing, different roles have been established, such as test manager, test lead, test analyst, test designer, tester, automation developer, and test administrator.	软件测试的各个阶段和不同目标分别对应着各种不同的角色，如测试经理、测试主管、测试分析师、测试设计师、测试人员、自动化开发人员和测试管理员。
Software testing can also be performed by non-dedicated software testers.	软件测试也可以由非专业的软件测试人员执行。
Glenford J. Myers initially introduced the separation of debugging from testing in 1979.	1979 年，格伦福德·J·迈尔斯最先提出要将调试和测试分离开来。
Although his attention was on breakage testing ("A successful test case is one that detects an as-yet undiscovered error.") it illustrated the desire of the software engineering community to separate fundamental development activities, such as debugging, from that of verification.	虽然他当时的初衷是破损测试（“一个成功的测试用例是能够检测到尚未发现的错误的用例”），但此举体现出了在软件工程界，人们想要将诸如调试之类的基本开发操作与软件的验证操作分离开来的愿望。
There are many approaches available in software testing.	可用于软件测试的方法有很多。
Reviews, walkthroughs, or inspections are referred to as static testing, whereas executing programmed code with a given set of test cases is referred to as dynamic testing.	审查、走查或检验的过程被称为静态测试，而用一组给定的测试用例来执行编程代码的过程被称为动态测试。
Dynamic testing takes place when the program itself is run.	动态测试则发生在程序本身也在运行的时候。
Dynamic testing may begin before the program is 100% complete in order to test particular sections of code and are applied to discrete functions or modules.	动态测试可以在程序尚未 100% 完成之前就开始，以测试特定的代码段并应用于离散的函数或模块中。
Typical techniques for these are either using stubs/drivers or execution from a debugger environment.	对此的通常做法要么是利用 stub 或 driver，要么是在调试器的环境中执行。
Static testing involves verification, whereas dynamic testing also involves validation.	静态测试中涉及到验证，而动态测试中也涉及到验证。
Passive testing means verifying the system behavior without any interaction with the software product.	被动测试的意思是在不与该软件产品进行互动的情况下验证系统的行为。
Contrary to active testing, testers do not provide any test data but look at system logs and traces.	与主动测试相反，测试人员并不提供任何测试数据，而是观察系统留下的日志和痕迹。
They mine for patterns and specific behavior in order to make some kind of decisions.	他们挖掘模式和特定行为，以便作出某种决定。
This is related to offline runtime verification and log analysis.	其中关系到脱机运行时的验证和日志分析。
Exploratory testing is an approach to software testing that is concisely described as simultaneous learning, test design and test execution.	探索性测试是一种软件测试方法，简单而言就是同时进行学习、测试设计和测试执行。
Cem Kaner, who coined the term in 1984, defines exploratory testing as "a style of software testing that emphasizes the personal freedom and responsibility of the individual tester to continually optimize the quality of his/her work by treating test-related learning, test design, test execution, and test result interpretation as mutually supportive activities that run in parallel throughout the project."	“探索性测试”这个词是由杰姆·卡尼尔于 1984 年所创，他将其定义为“一种强调测试员个人自由和责任的软件测试风格，测试员可以将与软件测试相关的学习、测试设计、测试执行、测试结果解释看作整个程序中并行运行、相互支持的活动，以持续优化其作品的质量”。
Software testing methods are traditionally divided into white- and black-box testing.	 软件测试历来有两种方法：白盒测试和黑盒测试。
These two approaches are used to describe the point of view that the tester takes when designing test cases.	这两种方法用来描述测试员在设计测试用例时所采取的视角。
A hybrid approach called grey-box testing may also be applied to software testing methodology.	将这两者结合起来的测试法叫灰盒测试，这种方法也被用在软件测试方法论中。
With the concept of grey-box testing—which develops tests from specific design elements—gaining prominence, this "arbitrary distinction" between black- and white-box testing has faded somewhat.	随着灰盒测试（从某些特定的设计元素上进行测试开发）的概念变得越来越重要，黑盒测试和百合测试之间的这种“任意差异”已经有所减弱。
Black-box testing (also known as functional testing) treats the software as a "black box," examining functionality without any knowledge of internal implementation, without seeing the source code.	黑盒测试（也叫“功能测试”）将程序视作一个“黑盒”，在不知道内部执行情况也不查看源代码的情况下检查程序的功能。
The testers are only aware of what the software is supposed to do, not how it does it.	测试员只关注该软件是何用途，无需关注其实现方式。
Black-box testing methods include: equivalence partitioning, boundary value analysis, all-pairs testing, state transition tables, decision table testing, fuzz testing, model-based testing, use case testing, exploratory testing, and specification-based testing.	黑盒测试的方法有：等价类划分、边界值分析、全对测试、状态转换表法、判定表测试、模糊测试、基于模型的测试、用例测试、探索性测试以及基于规格说明的测试。
Specification-based testing aims to test the functionality of software according to the applicable requirements.	基于规格说明的测试旨在根据适用要求对软件的功能进行测试。
This level of testing usually requires thorough test cases to be provided to the tester, who then can simply verify that for a given input, the output value (or behavior), either "is" or "is not" the same as the expected value specified in the test case.	这一级别的测试通常需要向测试员提供详尽的测试用例，然后测试员可以通过一个给定的输入简单地对其进行验证，确定输出值（或行为）“是”或“不是”该测试用例中所指定的那个期望值。
Test cases are built around specifications and requirements, i.e., what the application is supposed to do.	测试用例是围绕规格说明和要求（例如该应用程序是用来干什么的）建立起来的。
It uses external descriptions of the software, including specifications, requirements, and designs to derive test cases.	通过对软件进行外部描述，包括规格、要求、设计等等，来得出测试用例。
These tests can be functional or non-functional, though usually functional.	这些测试可以是功能性的，也可以是非功能性的，但一般来说都是功能性测试。
Specification-based testing may be necessary to assure correct functionality, but it is insufficient to guard against complex or high-risk situations.	要确保功能的正确性，基于规格说明的测试是很必要的，但这种方法并不足以防止复杂情况或高风险情况的发生。
One advantage of the black box technique is that no programming knowledge is required.	黑盒测试法的一大优势是不需要用到编程知识。
Whatever biases the programmers may have had, the tester likely has a different set and may emphasize different areas of functionality.	不管程序员有着怎样的偏见，测试员的偏见都有可能会与之不一样，所侧重的功能点也可能会不同。
On the other hand, black-box testing has been said to be "like a walk in a dark labyrinth without a flashlight." Because they do not examine the source code, there are situations when a tester writes many test cases to check something that could have been tested by only one test case or leaves some parts of the program untested.	另一方面，黑盒测试被认为是“在黑暗的迷宫中摸黑前行”。由于黑盒测试不检查源代码，因此会存在这样的情况，即本来只用一个测试用例就能测试出来东西，测试员写了很多测试用例来检查；或者该程序有一些部分没有被测试到。
This method of test can be applied to all levels of software testing: unit, integration, system and acceptance.	该测试方法适用于软件测试的所有级别：单元、集成、系统和验收。
It typically comprises most if not all testing at higher levels, but can also dominate unit testing as well.	它通常囊括绝大多数甚至所有的高级别测试，但在单元测试中也占主导地位。
Component interface testing	组件接口测试
Component interface testing is a variation of black-box testing, with the focus on the data values beyond just the related actions of a subsystem component.	组件接口测试是黑盒测试的一种变体，不仅关注子系统组件的相关操作，还关注数据的值。
The practice of component interface testing can be used to check the handling of data passed between various units, or subsystem components, beyond full integration testing between those units.	组件接口测试除了可以用于各个单元之间的全集成测试，还可以用来检查这些单元或子系统组件之间数据传递的处理情况。
The data being passed can be considered as "message packets" and the range or data types can be checked, for data generated from one unit, and tested for validity before being passed into another unit.	被传递的数据可以看作是“消息包”，可以检查一个单元所生成数据的数据范围或类型，并在传递给下一个单元之前测试其有效性。
One option for interface testing is to keep a separate log file of data items being passed, often with a timestamp logged to allow analysis of thousands of cases of data passed between units for days or weeks.	接口测试的一种选择是为传递的数据项保留一个单独的日志文件，文件通常带有一个时间戳记录，这样就可以对数天或数周内各单元之间传递的数千种数据情况进行分析。
Tests can include checking the handling of some extreme data values while other interface variables are passed as normal values.	测试包括检查某些极端数据值的处理情况，其他接口变量则作为正常的值来传递。
Unusual data values in an interface can help explain unexpected performance in the next unit.	接口处的不寻常数据值可以帮助解释下一个单元的意外行为。
The aim of visual testing is to provide developers with the ability to examine what was happening at the point of software failure by presenting the data in such a way that the developer can easily find the information she or he requires, and the information is expressed clearly.	可视化测试的目的是让开发人员能够检查软件故障点发生了什么，通过呈现数据，开发人员可以很容易地找到他/她所需的信息，而且信息的表达是很清楚的。
At the core of visual testing is the idea that showing someone a problem (or a test failure), rather than just describing it, greatly increases clarity and understanding.	视觉测试的核心概念是向某人展示一个问题（或一次测试失败），而不仅仅是描述这个问题，这大大提高了问题的清晰度及可理解性。
Visual testing, therefore, requires the recording of the entire test process – capturing everything that occurs on the test system in video format.	因此，可视化测试需要录制整个测试过程——以视频的格式捕捉测试系统中所发生的一切。
Output videos are supplemented by real-time tester input via picture-in-a-picture webcam and audio commentary from microphones.	通过画中画摄像以及来自麦克风的音频评论获得实时测试输入，作为输出视频的补充。
Visual testing provides a number of advantages.	可视化测试具有很多优势。
The quality of communication is increased drastically because testers can show the problem (and the events leading up to it) to the developer as opposed to just describing it and the need to replicate test failures will cease to exist in many cases.	可以大大提高沟通质量，因为测试人员可以向开发人员展示问题（以及导致问题的事件），而非仅仅描述问题。多数情况下不再需要一次次去重复测试失败。
The developer will have all the evidence she or he requires of a test failure and can instead focus on the cause of the fault and how it should be fixed.	开发人员获得他/她所需的关于测试失败的所有证据，可以转而专注于错误的原因以及应该如何修复。
Ad hoc testing and exploratory testing are important methodologies for checking software integrity, because they require less preparation time to implement, while the important bugs can be found quickly.	随机测试和探索性测试是检查软件完整性的重要方法，因为这两种方法在执行前需要的准备时间更少，但却能快速地找出重大的 bug。
In ad hoc testing, where testing takes place in an improvised, impromptu way, the ability of the tester(s) to base testing off documented methods and then improvise variations of those tests can result in more rigorous examination of defect fixes.	在随机测试中，测试是以一种临时、即兴的方式进行的，测试人员能够基于文档化的方法进行测试，然后即兴改变这些测试，这样做可以使得对缺陷修复的检查更加严密。
However, unless strict documentation of the procedures are maintained, one of the limits of ad hoc testing is lack of repeatability.	然而，随机测试的不足之一是缺乏可重复性，除非将程序文档严格保存下来。
