There were varying degrees of Romanization throughout Roman Dacia.	Houve vários graus de romanização em toda a Dácia romana.
The most Romanized segment was the region along the Danube, which was predominately under imperial administration, albeit in a form that was partially barbarized.	O segmento mais romanizado foi a região ao longo do Danúbio, que esteve predominantemente sob administração imperial, embora de uma forma parcialmente bárbara.
The population beyond this zone, having lived with the Roman legions before their withdrawal, were substantially Romanized.	A população além dessa zona, tendo vivido com as legiões romanas antes de sua retirada, foi substancialmente romanizada.
The final zone, consisting of the northern portions of Maramures, Crisana, and Moldavia, stood at the edges of Roman Dacia.	A zona final, que consiste nas porções norte de Maramures, Crisana e Moldávia, situava-se nos limites da Dácia romana.
Although its people did not have Roman legions stationed among them, they were still nominally under the control of Rome, politically, socially, and economically.	Embora seus povos não tivessem legiões romanas posicionadas entre eles, ainda seguiram nominalmente sob o controle de Roma, política, social e economicamente.
These were the areas in which resided the Carpi, often referred to as the Free Dacians.	Essas foram as áreas em que viviam os carpos, frequentemente chamados dácios livres.
In an attempt to fill the cities, cultivate the fields, and mine the ore, a large-scale attempt at colonization took place with colonists coming in "from all over the Roman world".	Com o intuito de preencher as cidades, cultivar os campos e extrair o minério, uma tentativa de colonização em grande escala ocorreu com colonizadores vindos “de todo o mundo romano”.
The colonists were a heterogeneous mix: of the some 3,000 names preserved in inscriptions found by the 1990s, 74% (c. 2,200) were Latin, 14% (c. 420) were Greek, 4% (c. 120) were Illyrian, 2.3% (c. 70) were Celtic, 2% (c. 60) were Thraco-Dacian, and another 2% (c. 60) were Semites from Syria.	Os colonizadores formavam uma mistura heterogênea: dos quase  3.000 nomes preservados em inscrições encontradas na década de 1990, 74% (c. 2.200) eram latinos, 14% (c. 420) eram gregos, 4% (c. 120) eram ilírios, 2,3% (c. 70) eram celtas, 2% (c. 60) eram daco-trácios, e outros 2% (c. 60) eram semitas da Síria.
Regardless of their place of origin, the settlers and colonists were a physical manifestation of Roman civilisation and imperial culture, bringing with them the most effective Romanizing mechanism: the use of Latin as the new lingua franca.	Independentemente dos seus locais de origem, os colonizadores foram uma manifestação física da civilização romana e da cultura imperial, trazendo consigo o mecanismo de romanização mais eficaz: o uso do latim como nova língua-franca.
The first settlement at Sarmizegethusa was made up of Roman citizens who had retired from the legions.	O primeiro povoado em Samirzegetusa era formado por cidadãos romanos que haviam se aposentado das legiões.
Based upon the location of names scattered throughout the province, it has been argued that, although places of origin are hardly ever noted in epigraphs, a large percentage of colonists originated from Noricum and western Pannonia.	Com base na localização de nomes espalhados por toda a província, argumentou-se que, embora os locais de origem sejam raramente mencionados nas epígrafes, uma grande porcentagem dos colonizadores era original da Nórica e da Polônia ocidental.
Specialist miners (the Pirusti tribesmen) were brought in from Dalmatia.	Mineiros especializados (membros da tribo Pirusti) foram trazidos da Dalmácia.
These Dalmatian miners were kept in sheltered communities (Vicus Pirustarum) and were under the jurisdiction of their own tribal leadership (with individual leaders referred to as princeps).	Esses mineiros dálmatas foram mantidos em comunidades protegidas (Vicus Pirustarum) e ficavam sob a jurisdição da sua própria liderança tribal (com líderes individuais referidos como príncipes).
An estimated 50,000 troops were stationed in Dacia at its height.	Um número estimado de 50.000 soldados ficava posicionado na Dácia em seu auge.
At the close of Trajan's first campaign in Dacia in 102, he stationed one legion at Sarmizegetusa Regia.	No final da primeira iniciativa de Trajano na Dácia em 102, ele posicionou uma legião em Sarmizegetusa Regia.
With the conclusion of Trajan's conquest of Dacia, he stationed at least two legions in the new province – the Legio IV Flavia Felix positioned at Berzobis, and the Legio XIII Gemina stationed at Apulum.	Com a conclusão da conquista da Dácia por Trajano, ele posicionou pelo menos duas legiões na nova província: a Legio IV Flavia Felix em Berzobis; e a Legio XIII Gemina em Apulum.
It has been conjectured that there was a third legion stationed in Dacia at the same time, the Legio I Adiutrix.	Supôs-se que havia uma terceira legião posicionada na Dácia em simultâneo, a Legio I Adiutrix.
However, there is no evidence to indicate when or where it was stationed, and it is unclear whether the legion was fully present, or whether it was only the vexillationes who were stationed in the province.	No entanto, não há evidências que indiquem quando ou onde foi posicionada, e não está claro se a legião estava totalmente presente ou se eram apenas vexilações que estavam posicionadas na província.
Hadrian, the subsequent emperor, shifted the fourth legion (Legio IV Flavia Felix) from Berzobis to Singidunum in Moesia Superior, suggesting that Hadrian believed the presence of one legion in Dacia would be sufficient to ensure the security of the province.	Adriano, o imperador seguinte, transferiu a quarta legião (Legio IV Flavia Felix) de Berzobis para Singidunum na Mésia Superior, sugerindo que Adriano acreditava que a presença de uma legião na Dácia seria suficiente para garantir a segurança da província.
The Marcomannic Wars that erupted north of the Danube forced Marcus Aurelius to reverse this policy, permanently transferring the Legio V Macedonica from Troesmis (modern Iglița in Romania) in Moesia Inferior to Potaissa in Dacia.	As Guerras Marcomanas que eclodiram ao norte do Danúbio forçaram Marco Aurélio a reverter essa política, transferindo permanentemente a Legio V Macedonica de Troesmis (moderna Iglita na Romênia), na Mésia Inferior, para Potaissa, na Dácia.
The Kingston Fossil Plant is located on a peninsula at the junction of the Emory River (to the north) and Clinch River (to the south and east), just over 4 miles (6.4 km) upstream from the latter's mouth along the Tennessee River.	A usina de combustíveis fósseis de Kingston está localizada em uma península na junção dos rios Emory (ao norte) e Clinch (ao sul e ao leste), pouco mais de 4 milhas (6,4 km) a montante da foz desse último ao longo do rio Tennessee.
Watts Bar Dam, located along the Tennessee 38 miles (61 km) downstream from the mouth of the Clinch, impounds a reservoir (Watts Bar Lake) that spans a 72-mile (116 km) stretch of the Tennessee (to Fort Loudoun Dam), the lower 23 miles (37 km) of the Clinch (to Melton Hill Dam), and the lower 12 miles (19 km) of the Emory.	A represa Watts Bar, localizada ao longo das 38 milhas (61 km) do Tennessee a jusante da foz do Clinch, contém um reservatório (Watts Bar Lake) que se estende por um trecho de 72 milhas (116 km) do Tennessee (para a represa Fort Loudoun), a parte inferior de 23 milhas (37 km) do Clinch (para a represa Melton Hill) e a parte inferior de 12 milhas (19 km) do Emory.
The plant, originally known as the Kingston Steam Plant, began operations in 1954, primarily to provide electricity to atomic energy installations at nearby Oak Ridge.	A usina, originalmente conhecida como Kingston Steam Plant, iniciou suas operações em 1954, principalmente para fornecer eletricidade a instalações de energia atômica nas proximidades de Oak Ridge.
The plant contains nine units with a combined generating capacity of 1,398 megawatts, and burns about 14,000 tonnes (14,000,000 kg) of coal every day.	A usina contém nove unidades com uma capacidade de geração combinada de 1.398 megawatts e queima cerca de 14.000 toneladas (14.000.000 kg) de carvão diariamente.
The plant's ash pond disposal area is located immediately north of the plant along the Emory River shore.	A área de descarte do tanque de cinzas da usina se localiza imediatamente ao norte da fábrica ao longo da costa do rio Emory.
The ash pond, which was impounded by a dike that rose 60 feet (18 m) above the winter level and 741 feet (226 m) above sea level, contained a watery slurry of fly ash generated by the burning of finely ground coal at the power plant.	O tanque de cinzas, apreendido por um dique que subiu 60 pés (18 metros) acima do nível do inverno e 741 pés (226 metros) acima do nível do mar, continha uma pasta aquosa de cinzas volantes gerada pela queima de carvão finamente moído na usina elétrica.
Fly ash is the fine particulate pollutants produced by the combustion of coal, which are collected rather than allowing them to escape into the atmosphere, then mixed with water and pumped into a retaining pond, where the ash gradually settles to the bottom.	As cinzas volantes são partículas poluentes produzidas pela combustão do carvão, coletadas para evitar seu escape para atmosfera, misturadas com água e bombeadas para o tanque de retenção, onde elas gradualmente se depositam no fundo.
Once the particulate matter settles out, it is dredged and moved to drying cells.	Assim que o material das partículas se assenta, ele é dragado e movido para células de secagem.
The 84-acre (0.34 km²) unlined above-ground dredge cell was surrounded by 60-foot (18 m) tall earthen dikes.	As células de dragagem aéreas não revestidas que se estendem ao longo de 84 acres (0,34 km²) foram cercadas por diques de terra de 60 pés (18 metros) de altura.
The dike breach occurred at the northwest corner of the dewatering pond, overlooking the Swan Pond Creek spillway.	O vazamento do dique ocorreu no canto noroeste do tanque de drenagem, ignorando o vertedouro de Swan Pond Creek.
TVA had reportedly known about the dangers of using wet storage ponds for coal ash since a 1969 spill in Virginia in which coal ash seeped into the Clinch River and killed countless fish.	A TVA alegadamente sabia dos perigos do uso de tanques de armazenamento molhados para cinzas de carvão desde um vazamento em 1969 na Virgínia, no qual as cinzas de carvão penetraram o rio Clinch e mataram inúmeros peixes.
In the 1980s, TVA engineers raised concerns about the stability of ash ponds.	No anos 1980, os engenheiros da TVA levantaram questões sobre a estabilidade dos tanques de cinzas.
The utility repeatedly found leaks in levees and seepage in the soil at many of their ash ponds, including the ones at Kingston.	A unidade encontrou repetidamente vazamentos em diques e infiltrações no solo em muitos de seus tanques de cinzas, incluindo os de Kingston.
However, TVA continued to make small repairs instead of switch to dry storage systems which would have cost ratepayers tens of millions.	No entanto, a TVA continuou realizando pequenos reparos em vez de mudar para sistemas de armazenamento a seco, o que teria custado dezenas de milhões aos contribuintes.
At the time of the disaster, TVA was using wet storage at six of their 11 coal-fired power plants.	No momento do desastre, a TVA estava usando armazenamento molhado em seis de suas 11 usinas termelétricas a carvão.
Leaks at the Kingston ash ponds had reportedly been taking place since the early 1980s, and local residents said that the spill was not a unique occurrence.	Vazamentos nos tanques de cinzas de Kingston estariam ocorrendo desde o início dos anos 1980, e os residentes locais disseram que o derramamento não foi uma ocorrência única.
The 1960s-era pond had been observed leaking and being repaired nearly every year since 2001.	O tanque da década de 1960 foi encontrado vazando e reparado quase todos os anos desde 2001.
