There were varying degrees of Romanization throughout Roman Dacia.	整个罗马达契亚有不同程度的罗马化。
The most Romanized segment was the region along the Danube, which was predominately under imperial administration, albeit in a form that was partially barbarized.	罗马化程度最高的部分是多瑙河沿岸地区，该地区主要由帝国管理，不过其形式为部分野蛮化。
The population beyond this zone, having lived with the Roman legions before their withdrawal, were substantially Romanized.	在罗马军团撤退前，该地区以外的人口与他们生活在一起，基本上已经罗马化。
The final zone, consisting of the northern portions of Maramures, Crisana, and Moldavia, stood at the edges of Roman Dacia.	最后一个区域由马拉穆列什、克里萨拉和摩尔达维亚组成，位于罗马达契亚的边缘。
Although its people did not have Roman legions stationed among them, they were still nominally under the control of Rome, politically, socially, and economically.	虽然罗马军团没有驻扎其中，但人们在政治、社会和经济方面仍然名义上处于罗马的控制之下。
These were the areas in which resided the Carpi, often referred to as the Free Dacians.	这些地区居住着卡尔皮人，通常被称为自由达契亚人。
In an attempt to fill the cities, cultivate the fields, and mine the ore, a large-scale attempt at colonization took place with colonists coming in "from all over the Roman world".	为了充盈城市、耕种田地和开采矿石，进行了大规模的殖民化尝试，殖民者“从罗马世界的各个角落”涌入。
The colonists were a heterogeneous mix: of the some 3,000 names preserved in inscriptions found by the 1990s, 74% (c. 2,200) were Latin, 14% (c. 420) were Greek, 4% (c. 120) were Illyrian, 2.3% (c. 70) were Celtic, 2% (c. 60) were Thraco-Dacian, and another 2% (c. 60) were Semites from Syria.	殖民者鱼龙混杂：在 20 世纪 90 年代发现的大约 3,000 个保存在铭文中的名字中，74%（约 2,200 人）是拉丁人，14%（约 420 人）是希腊人，4%（约 120 人）是伊利安人，2.3%（约 70 人）是凯尔特人，2%（约 60 人）是色拉科-达契亚人，另外 2%（约 60 人）是来自叙利亚的闪米特人。
Regardless of their place of origin, the settlers and colonists were a physical manifestation of Roman civilisation and imperial culture, bringing with them the most effective Romanizing mechanism: the use of Latin as the new lingua franca.	无论他们来自哪里，定居者和殖民者都是罗马文明和帝国文化的实际体现，他们带来了最有效的罗马化机制：使用拉丁语作为新的通用语。
The first settlement at Sarmizegethusa was made up of Roman citizens who had retired from the legions.	Sarmizegethusa 的第一个村落由从军团退役的罗马公民组成。
Based upon the location of names scattered throughout the province, it has been argued that, although places of origin are hardly ever noted in epigraphs, a large percentage of colonists originated from Noricum and western Pannonia.	根据散落该省各地的名称的位置来看，有人认为，尽管铭文中几乎没有注明原籍地，但很大一部分殖民者来自诺里库姆和潘诺尼亚西部。
