There were varying degrees of Romanization throughout Roman Dacia.	達契亞行省各處都有不同程度的羅馬化。
The most Romanized segment was the region along the Danube, which was predominately under imperial administration, albeit in a form that was partially barbarized.	最羅馬化的區段是多瑙河沿岸區域，這個區域過去主要受帝國統治，雖然有部分是以野蠻的形式來進行。
The population beyond this zone, having lived with the Roman legions before their withdrawal, were substantially Romanized.	超過此區域的人口因為曾在羅馬軍團撤退之前與軍團居住在一起，所以本質上相當羅馬化。
The final zone, consisting of the northern portions of Maramures, Crisana, and Moldavia, stood at the edges of Roman Dacia.	最後的區域，包括馬拉穆列什、克里沙那和摩達維亞的北邊部分，則是羅馬達契亞行省的邊緣。
Although its people did not have Roman legions stationed among them, they were still nominally under the control of Rome, politically, socially, and economically.	雖然其人民沒有羅馬軍團駐紮在其中，但在政治、社會和經濟方面，他們名義上仍受到羅馬控制。
These were the areas in which resided the Carpi, often referred to as the Free Dacians.	這些是經常被稱為自由達契亞人的卡爾皮人居住過的地區。
In an attempt to fill the cities, cultivate the fields, and mine the ore, a large-scale attempt at colonization took place with colonists coming in "from all over the Roman world".	隨著「來自羅馬世界各處」的開拓者嘗試填補城市、開墾野地和開採礦石，發生了殖民化的大規模攻佔。
The colonists were a heterogeneous mix: of the some 3,000 names preserved in inscriptions found by the 1990s, 74% (c. 2,200) were Latin, 14% (c. 420) were Greek, 4% (c. 120) were Illyrian, 2.3% (c. 70) were Celtic, 2% (c. 60) were Thraco-Dacian, and another 2% (c. 60) were Semites from Syria.	開拓者由不同的族裔混合組成：在 1990 年代找到的銘文所保存約 3,000 個名字中，有 74% (約 2,200 個) 是拉丁人，14% (約 420 個) 是希臘人，4% (約 120 個) 是伊利里亞人，2.3% (約 70 個) 是凱爾特人，2% (約 60 個) 是瑟雷斯達契亞人，還有其他 2% (約 60 個) 是來自敘利亞的閃米特人。
Regardless of their place of origin, the settlers and colonists were a physical manifestation of Roman civilisation and imperial culture, bringing with them the most effective Romanizing mechanism: the use of Latin as the new lingua franca.	無論移民者和開拓者的原居地為何，他們都是羅馬文明及帝國文化的具體展現，因為他們帶來了最有效的羅馬化機制：使用拉丁文作為新的通用語。
The first settlement at Sarmizegethusa was made up of Roman citizens who had retired from the legions.	薩爾米澤傑圖薩的第一批移民是由軍團退休的羅馬公民組成。
Based upon the location of names scattered throughout the province, it has been argued that, although places of origin are hardly ever noted in epigraphs, a large percentage of colonists originated from Noricum and western Pannonia.	有人認為，根據散佈在該省各處的名稱所在地點，雖然碑文中幾乎未曾註記過原居地，還是有很大比例的開拓者是源自諾里庫姆和西潘諾尼亞。
