predicted_labels	true_labels	lil_interpretations	gil_interpretations
1	1	[('é', 0.011398255825042725), ('este', 0.011398255825042725), ('comerciais', 0.011398255825042725), ('comum', 0.01139819622039795), ('tipo', 0.011398136615753174)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	1	[('latim', 0.011371910572052002), ('gregos', 0.011371850967407227), ('a', 0.011371791362762451), ('vivia', 0.011371791362762451), ('grande', 0.011371791362762451)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	1	[('todas', 0.011108458042144775), ('religiosas', 0.0111083984375), ('parte', 0.0111083984375), ('da', 0.011108338832855225), ('foi', 0.011108338832855225)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	1	[('concluiu', 0.011319637298583984), ('licenciatura', 0.011319637298583984), ('ensino', 0.011319577693939209), ('lisboa', 0.011319577693939209), ('a', 0.011319577693939209)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	0	[('críticas', 0.011449933052062988), ('na', 0.011449873447418213), ('sarjeta', 0.011449873447418213), ('recebeu', 0.011449873447418213), ('maioria', 0.011449873447418213)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	0	[('pois', 0.01102912425994873), ('auxiliar', 0.011029064655303955), ('porto', 0.011029064655303955), ('título', 0.011029064655303955), ('e', 0.01102900505065918)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	1	[('a', 0.011385083198547363), ('leva', 0.011385023593902588), ('sua', 0.011384963989257812), ('vez', 0.011384963989257812), ('o', 0.011384963989257812)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	1	[('estádios', 0.011384427547454834), ('os', 0.011384427547454834), ('tem', 0.011384367942810059), ('pequenos', 0.011384367942810059), ('receber', 0.011384367942810059)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	0	[('ela', 0.011358439922332764), ('conhecimento', 0.011358380317687988), ('a', 0.011358320713043213), ('oportunidade', 0.011358320713043213), ('para', 0.011358320713043213)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	0	[('a', 0.011279881000518799), ('da', 0.011279881000518799), ('sem', 0.011279881000518799), ('fio', 0.011279881000518799), ('marconi', 0.011279881000518799)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	1	[('também', 0.011384963989257812), ('e', 0.011384963989257812), ('voos', 0.011384904384613037), ('são', 0.011384904384613037), ('essencialmente', 0.011384904384613037)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	1	[('nova', 0.01129305362701416), ('religiosas', 0.011292994022369385), ('uma', 0.01129293441772461), ('república', 0.011292874813079834), ('seguida', 0.011292874813079834)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	0	[('diferentes', 0.011424064636230469), ('em', 0.011424064636230469), ('são', 0.011424064636230469), ('raras', 0.011424064636230469), ('por', 0.011424064636230469)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	1	[('uma', 0.011423885822296143), ('aproximava', 0.011423826217651367), ('do', 0.011423826217651367), ('ao', 0.011423766613006592), ('quando', 0.011423766613006592)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	1	[('em', 0.011306345462799072), ('o', 0.011306226253509521), ('custava', 0.011306226253509521), ('cerca', 0.011306226253509521), ('kelvinator', 0.011306226253509521)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	0	[('é', 0.0110817551612854), ('um', 0.0110817551612854), ('se', 0.0110817551612854), ('uma', 0.0110817551612854), ('isso', 0.0110817551612854)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	0	[('dos', 0.01129305362701416), ('romanas', 0.01129293441772461), ('cerimônias', 0.01129293441772461), ('católico', 0.01129293441772461), ('pode', 0.01129293441772461)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	0	[('chris', 0.011253893375396729), ('ajudáa', 0.011253893375396729), ('rachel', 0.011253833770751953), ('a', 0.011253833770751953), ('realidade', 0.011253833770751953)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	1	[('roubar', 0.011161208152770996), ('frequentemente', 0.011161208152770996), ('de', 0.01116114854812622), ('tinham', 0.01116114854812622), ('em', 0.01116114854812622)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	0	[('tornouse', 0.011474788188934326), ('treinador', 0.01147472858428955), ('ele', 0.011474668979644775), ('equipe', 0.011474668979644775), ('brasileira', 0.011474609375)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	1	[('uma', 0.01126706600189209), ('de', 0.011267006397247314), ('ou', 0.011267006397247314), ('camada', 0.011267006397247314), ('um', 0.011266946792602539)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	0	[('foi', 0.011358320713043213), ('nsw', 0.011358320713043213), ('à', 0.011358261108398438), ('listada', 0.011358261108398438), ('no', 0.011358261108398438)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	0	[('inibidores', 0.011450529098510742), ('atividade', 0.011450529098510742), ('e', 0.011450409889221191), ('como', 0.011450409889221191), ('fosfatos', 0.011450350284576416)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	1	[('o', 0.01138460636138916), ('vários', 0.011384546756744385), ('a', 0.011384546756744385), ('frequentemente', 0.011384546756744385), ('são', 0.01138448715209961)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	0	[('melanoma', 0.011174559593200684), ('uterinos', 0.011174559593200684), ('geral', 0.011174559593200684), ('identificou', 0.011174499988555908), ('câncer', 0.011174499988555908)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	0	[('comuns', 0.011463046073913574), ('grelhado', 0.011462986469268799), ('chá', 0.011462986469268799), ('são', 0.011462867259979248), ('japonês', 0.011462807655334473)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	1	[('ou', 0.011174380779266357), ('e', 0.011174201965332031), ('conteúdo', 0.011174142360687256), ('como', 0.011174142360687256), ('do', 0.01117408275604248)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	0	[('dados', 0.011279463768005371), ('clientes', 0.011279404163360596), ('bancos', 0.01127934455871582), ('de', 0.01127934455871582), ('totalmente', 0.01127934455871582)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	0	[('p', 0.011134803295135498), ('é', 0.011134743690490723), ('que', 0.011134743690490723), ('inconfundível', 0.011134743690490723), ('montero', 0.011134743690490723)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
1	0	[('de', 0.01102900505065918), ('foi', 0.011028945446014404), ('o', 0.011028945446014404), ('do', 0.011028945446014404), ('projetado', 0.011028945446014404)]	['ão de estacionamento', 'o informação e documentação', '₂ sio', '₂ sio', 'a um valor suficientemente elevado']
